accuracy,split_method,layer,seed
1.0,spatial,layer4,70
1.0,spatial,layer5,70
0.9994645095135012,spatial,layer1,71
0.9878872764112864,spatial,layer2,71
0.9945173457398632,spatial,layer3,71
1.0,spatial,layer4,71
0.9981046093994176,spatial,layer5,71
1.0,spatial,layer1,72
0.9940237767489308,spatial,layer2,72
0.9963505691112626,spatial,layer3,72
1.0,spatial,layer4,72
0.999988650228414,spatial,layer5,72
1.0,spatial,layer1,73
0.992901776921814,spatial,layer2,73
0.9978342141193728,spatial,layer3,73
1.0,spatial,layer4,73
1.0,spatial,layer5,73
0.9998974592685428,spatial,layer1,74
0.99018460806761,spatial,layer2,74
0.9938394522647354,spatial,layer3,74
1.0,spatial,layer4,74
0.999988650228414,spatial,layer5,74
0.9998404921955112,spatial,layer1,75
0.9973553535051298,spatial,layer2,75
0.9928716571957412,spatial,layer3,75
0.9999705605275556,spatial,layer4,75
0.998110282997074,spatial,layer5,75
1.0,spatial,layer1,76
0.9266138631246748,spatial,layer2,76
0.9952548640006912,spatial,layer3,76
1.0,spatial,layer4,76
0.999994325114207,spatial,layer5,76
0.9998974592685428,spatial,layer1,77
0.9950007216627572,spatial,layer2,77
0.9966617906660964,spatial,layer3,77
1.0,spatial,layer4,77
1.0,spatial,layer5,77
1.0,spatial,layer1,78
0.990196110514449,spatial,layer2,78
0.995404107544451,spatial,layer3,78
1.0,spatial,layer4,78
0.9999943252752242,spatial,layer5,78
1.0,spatial,layer1,79
0.9936994060004214,spatial,layer2,79
0.994491718582048,spatial,layer3,79
1.0,spatial,layer4,79
1.0,spatial,layer5,79
1.0,spatial,layer1,80
0.995340379902954,spatial,layer2,80
0.9883269662541732,spatial,layer3,80
1.0,spatial,layer4,80
0.99803083749428,spatial,layer5,80
1.0,spatial,layer1,81
0.9918141809597968,spatial,layer2,81
0.9936134866521646,spatial,layer3,81
1.0,spatial,layer4,81
1.0,spatial,layer5,81
1.0,spatial,layer1,82
0.9961646696668393,spatial,layer2,82
0.9956769729269932,spatial,layer3,82
1.0,spatial,layer4,82
1.0,spatial,layer5,82
1.0,spatial,layer1,83
0.9918828411592454,spatial,layer2,83
0.9949990877220029,spatial,layer3,83
1.0,spatial,layer4,83
1.0,spatial,layer5,83
1.0,spatial,layer1,84
0.9862043005187456,spatial,layer2,84
0.9945727430310328,spatial,layer3,84
1.0,spatial,layer4,84
0.9981556832105368,spatial,layer5,84
1.0,spatial,layer1,85
0.9904593905706564,spatial,layer2,85
0.9513423927804072,spatial,layer3,85
1.0,spatial,layer4,85
0.9982578309937924,spatial,layer5,85
1.0,spatial,layer1,86
0.9965005204340182,spatial,layer2,86
0.9965339084339936,spatial,layer3,86
1.0,spatial,layer4,86
1.0,spatial,layer5,86
1.0,spatial,layer1,87
0.9940008755491264,spatial,layer2,87
0.9975997451692434,spatial,layer3,87
0.999664390014131,spatial,layer4,87
0.9980251606762824,spatial,layer5,87
1.0,spatial,layer1,88
0.9916080743122264,spatial,layer2,88
0.9928162257334524,spatial,layer3,88
0.9995054135694392,spatial,layer4,88
0.9938938728021076,spatial,layer5,88
1.0,spatial,layer1,89
0.983136031781147,spatial,layer2,89
0.9860589027608606,spatial,layer3,89
1.0,spatial,layer4,89
0.995834654760214,spatial,layer5,89
1.0,spatial,layer1,90
0.9819032937418182,spatial,layer2,90
0.9961672552351098,spatial,layer3,90
1.0,spatial,layer4,90
0.9976279347724852,spatial,layer5,90
1.0,spatial,layer1,91
0.916504203488951,spatial,layer2,91
0.9951610951784028,spatial,layer3,91
1.0,spatial,layer4,91
0.9991658096613356,spatial,layer5,91
