accuracy,split_method,layer,seed
1.0,spatial,layer2,81
0.9998209390467988,spatial,layer3,81
1.0,spatial,layer4,81
1.0,spatial,layer5,81
1.0,spatial,layer1,82
1.0,spatial,layer2,82
1.0,spatial,layer3,82
1.0,spatial,layer4,82
1.0,spatial,layer5,82
1.0,spatial,layer1,83
0.9998626153458658,spatial,layer2,83
0.9999658931517712,spatial,layer3,83
1.0,spatial,layer4,83
1.0,spatial,layer5,83
1.0,spatial,layer1,84
0.9998549828650808,spatial,layer2,84
1.0,spatial,layer3,84
1.0,spatial,layer4,84
0.9998808287509152,spatial,layer5,84
1.0,spatial,layer1,85
1.0,spatial,layer2,85
1.0,spatial,layer3,85
1.0,spatial,layer4,85
0.999994325178615,spatial,layer5,85
1.0,spatial,layer1,86
1.0,spatial,layer2,86
1.0,spatial,layer3,86
1.0,spatial,layer4,86
1.0,spatial,layer5,86
1.0,spatial,layer1,87
1.0,spatial,layer2,87
1.0,spatial,layer3,87
1.0,spatial,layer4,87
0.99987515392953,spatial,layer5,87
1.0,spatial,layer1,88
1.0,spatial,layer2,88
0.9998806260311992,spatial,layer3,88
1.0,spatial,layer4,88
0.9992736228627204,spatial,layer5,88
1.0,spatial,layer1,89
0.9999313076729328,spatial,layer2,89
1.0,spatial,layer3,89
1.0,spatial,layer4,89
0.9985812946537508,spatial,layer5,89
1.0,spatial,layer1,90
0.9998435341439028,spatial,layer2,90
1.0,spatial,layer3,90
1.0,spatial,layer4,90
0.9985869694751358,spatial,layer5,90
1.0,spatial,layer1,91
0.998752089391615,spatial,layer2,91
1.0,spatial,layer3,91
1.0,spatial,layer4,91
1.0,spatial,layer5,91
1.0,spatial,layer1,92
1.0,spatial,layer2,92
1.0,spatial,layer3,92
1.0,spatial,layer4,92
1.0,spatial,layer5,92
1.0,spatial,layer1,93
0.9998282691823324,spatial,layer2,93
1.0,spatial,layer3,93
1.0,spatial,layer4,93
1.0,spatial,layer5,93
1.0,spatial,layer1,94
1.0,spatial,layer2,94
0.9998635726070848,spatial,layer3,94
1.0,spatial,layer4,94
1.0,spatial,layer5,94
1.0,spatial,layer1,95
1.0,spatial,layer2,95
1.0,spatial,layer3,95
1.0,spatial,layer4,95
1.0,spatial,layer5,95
1.0,spatial,layer1,96
1.0,spatial,layer2,96
1.0,spatial,layer3,96
1.0,spatial,layer4,96
1.0,spatial,layer5,96
1.0,spatial,layer1,97
1.0,spatial,layer2,97
1.0,spatial,layer3,97
1.0,spatial,layer4,97
1.0,spatial,layer5,97
1.0,spatial,layer1,98
1.0,spatial,layer2,98
1.0,spatial,layer3,98
1.0,spatial,layer4,98
1.0,spatial,layer5,98
1.0,spatial,layer1,99
1.0,spatial,layer2,99
1.0,spatial,layer3,99
1.0,spatial,layer4,99
1.0,spatial,layer5,99
1.0,spatial,layer1,100
0.9997481281340874,spatial,layer2,100
1.0,spatial,layer3,100
1.0,spatial,layer4,100
1.0,spatial,layer5,100
1.0,spatial,layer1,101
1.0,spatial,layer2,101
0.999927522947514,spatial,layer3,101
1.0,spatial,layer4,101
1.0,spatial,layer5,101
1.0,spatial,layer1,102
1.0,spatial,layer2,102
1.0,spatial,layer3,102
1.0,spatial,layer4,102
0.999994325178615,spatial,layer5,102
1.0,spatial,layer1,103
0.9867767270395896,spatial,layer2,103
0.9998934160992852,spatial,layer3,103
0.9992639958548246,spatial,layer4,103
1.0,spatial,layer5,103
1.0,spatial,layer1,104
1.0,spatial,layer2,104
1.0,spatial,layer3,104
1.0,spatial,layer4,104
0.999994325178615,spatial,layer5,104
1.0,spatial,layer1,105
0.9999236751921478,spatial,layer2,105
1.0,spatial,layer3,105
1.0,spatial,layer4,105
0.9997957064301402,spatial,layer5,105
1.0,spatial,layer1,106
1.0,spatial,layer2,106
0.9998806260311992,spatial,layer3,106
1.0,spatial,layer4,106
0.9998240805370652,spatial,layer5,106
1.0,spatial,layer1,107
1.0,spatial,layer2,107
1.0,spatial,layer3,107
1.0,spatial,layer4,107
1.0,spatial,layer5,107
1.0,spatial,layer1,108
1.0,spatial,layer2,108
0.9999317863035424,spatial,layer3,108
1.0,spatial,layer4,108
1.0,spatial,layer5,108
1.0,spatial,layer1,109
1.0,spatial,layer2,109
1.0,spatial,layer3,109
1.0,spatial,layer4,109
0.999994325178615,spatial,layer5,109
